;id;text
  REQ-0 FINESS Fonction Principale;REQ-0;L'application doit permettre de publier et partager des informations avec tous les acteurs du système de santé, relatives aux personnes morales et entités géographiques (établissements), ainsi qu’à leurs activités autorisées/installées.
      REQ-1 Recherche et filtrage;REQ-1;L'application doit permettre aux utilisateurs de rechercher et de filtrer les informations sur les PM/EGEs enregistrées dans ce répertoire.
          REQ-1.1 Recherche;REQ-1.1;L'application doit permettre de chercher des informations sur une ou plusieurs PM/EGE enregistrées dans le répertoire, en utilisant différents critères de recherche, et doit présenter les résultats d'une manière accessible et organisée.
              REQ-1.1.2 Présentation;REQ-1.1.2;L'application doit présenter les résultats d'une recherche de manière accessible et organisée.
                  REQ-1.1.2.1 Trier;REQ-1.1.2.1;L'application doit permettre de trier les résultats de la recherche en fonction de différents critères.
                  REQ-1.1.2.2 Multiformats (accessibilité);REQ-1.1.2.2;L'application doit être capable de générer des résultats de recherche dans différents formats, tels que CSV, HTML, JSON, entre autres, afin que les utilisateurs puissent télécharger, imprimer, partager ou utiliser les informations dans différents outils et applications.
          REQ-1.2 Filtrage;REQ-1.2;L'application doit proposer un ou plusieurs critères de recherche.
              REQ-1.2.1 Filtrage personnalisé;REQ-1.2.1;L'application doit permettre de trouver rapidement des PM/EGEs par n'importe quel champ, pour répondre à des besoins spécifiques et offrir une plus grande flexibilité et précision dans la recherche d'informations.
              REQ-1.2.2 par identifiant FINESS;REQ-1.2.2;L'application doit permettre de trouver rapidement un PM/EGE par son identifiant FINESS.
              REQ-1.2.3 par géolocalisation;REQ-1.2.3;L'application doit permettre de trouver rapidement des PM/EGEs qui se trouvent à proximité d'un emplacement géographique.
              REQ-1.2.4 par catégorie;REQ-1.2.4;L'application doit permettre de trouver rapidement des PM/EGEs par une ou plusieurs catégories.
              REQ-1.2.5 par type;REQ-1.2.5;
              REQ-1.2.6 par mot-clé;REQ-1.2.6;L'application doit permettre de trouver rapidement des PM/EGEs par mot-clé pertinents. Les mots-clés peuvent inclure des noms de l'entité, des noms de lieux, etc.
              REQ-1.2.7 par activités;REQ-1.2.7;L'application doit permettre de trouver rapidement des PM/EGEs par une ou plusieurs activités.
      REQ-2 Collecte de données;REQ-2;"L'application doit être capable de collecter et de stocker des informations sur une PM/EGE de manière efficace, afin de garantir l'exhaustivité et l'exactitude des données qui seront soumises aux ""autorités d'enregistrement"" ou ""Autorités de régulation""."
          REQ-2.1 Exhaustivité;REQ-2.1;L'application doit garantir l'intégrité et l'exactitude des données collectées pour assurer que les informations présentées soient complètes et précises.
          REQ-2.2 Demande d'Immatriculation;REQ-2.2;L'application doit permettre aux PM/EGE de demander leur enregistrement auprès des autorités correspondantes.
              REQ-2.2.3 Gestion des demandes d'immatriculation;REQ-2.2.3;L'application doit permettre la gestion des demandes d'immatriculation soumises par les PM/EGE. Cela implique que l'application doit permettre la réception et l'enregistrement des demandes, ainsi que la vérification des informations fournies par les PM/EGE.
