;id;text
  REQ-0 FINESS Fonction Principale;REQ-0;L'application doit permettre de publier et partager des informations avec tous les acteurs du systŠme de sant‚, relatives aux personnes morales et entit‚s g‚ographiques (‚tablissements), ainsi qu?… leurs activit‚s autoris‚es/install‚es.
      REQ-1 Recherche et filtrage;REQ-1;L'application doit permettre aux utilisateurs de rechercher et de filtrer les informations sur les PM/EGEs enregistr‚es dans ce r‚pertoire.
          REQ-1.1 Recherche;REQ-1.1;L'application doit permettre de chercher des informations sur une ou plusieurs PM/EGE enregistr‚es dans le r‚pertoire, en utilisant diff‚rents critŠres de recherche, et doit pr‚senter les r‚sultats d'une maniŠre accessible et organis‚e.
              REQ-1.1.2 Pr‚sentation;REQ-1.1.2;L'application doit pr‚senter les r‚sultats d'une recherche de maniŠre accessible et organis‚e.
                  REQ-1.1.2.1 Trier;REQ-1.1.2.1;L'application doit permettre de trier les r‚sultats de la recherche en fonction de diff‚rents critŠres.
                  REQ-1.1.2.2 Multiformats (accessibilit‚);REQ-1.1.2.2;L'application doit ˆtre capable de g‚n‚rer des r‚sultats de recherche dans diff‚rents formats, tels que CSV, HTML, JSON, entre autres, afin que les utilisateurs puissent t‚l‚charger, imprimer, partager ou utiliser les informations dans diff‚rents outils et applications.
          REQ-1.2 Filtrage;REQ-1.2;L'application doit proposer un ou plusieurs critŠres de recherche.
              REQ-1.2.1 Filtrage personnalis‚;REQ-1.2.1;L'application doit permettre de trouver rapidement des PM/EGEs par n'importe quel champ, pour r‚pondre … des besoins sp‚cifiques et offrir une plus grande flexibilit‚ et pr‚cision dans la recherche d'informations.
              REQ-1.2.2 par identifiant FINESS;REQ-1.2.2;L'application doit permettre de trouver rapidement un PM/EGE par son identifiant FINESS.
              REQ-1.2.3 par g‚olocalisation;REQ-1.2.3;L'application doit permettre de trouver rapidement des PM/EGEs qui se trouvent … proximit‚ d'un emplacement g‚ographique.
              REQ-1.2.4 par cat‚gorie;REQ-1.2.4;L'application doit permettre de trouver rapidement des PM/EGEs par une ou plusieurs cat‚gories.
              REQ-1.2.5 par type;REQ-1.2.5;
              REQ-1.2.6 par mot-cl‚;REQ-1.2.6;L'application doit permettre de trouver rapidement des PM/EGEs par mot-cl‚ pertinents. Les mots-cl‚s peuvent inclure des noms de l'entit‚, des noms de lieux, etc.
              REQ-1.2.7 par activit‚s;REQ-1.2.7;L'application doit permettre de trouver rapidement des PM/EGEs par une ou plusieurs activit‚s.
      REQ-2 Collecte de donn‚es;REQ-2;"L'application doit ˆtre capable de collecter et de stocker des informations sur une PM/EGE de maniŠre efficace, afin de garantir l'exhaustivit‚ et l'exactitude des donn‚es qui seront soumises aux ""autorit‚s d'enregistrement"" ou ""Autorit‚s de r‚gulation""."
          REQ-2.1 Exhaustivit‚;REQ-2.1;L'application doit garantir l'int‚grit‚ et l'exactitude des donn‚es collect‚es pour assurer que les informations pr‚sent‚es soient complŠtes et pr‚cises.
          REQ-2.2 Demande d'Immatriculation;REQ-2.2;L'application doit permettre aux PM/EGE de demander leur enregistrement auprŠs des autorit‚s correspondantes.
              REQ-2.2.3 Gestion des demandes d'immatriculation;REQ-2.2.3;L'application doit permettre la gestion des demandes d'immatriculation soumises par les PM/EGE. Cela implique que l'application doit permettre la r‚ception et l'enregistrement des demandes, ainsi que la v‚rification des informations fournies par les PM/EGE.
                  REQ-2.2.3.1 R‚ception des demandes;REQ-2.2.3.1;
                  REQ-2.2.3.2 Enregistrement des demandes;REQ-2.2.3.2;
                  REQ-2.2.3.3 V‚rification des demandes;REQ-2.2.3.3;L'application doit permettre la v‚rification des demandes d'immatriculation soumises par les PM/EGE. Cela implique que l'application doit permettre la validation des informations fournies par les PM/EGE, ainsi que la collecte des documents justificatifs n‚cessaires pour compl‚ter la demande.
                  REQ-2.2.3.5 Approbation des demandes;REQ-2.2.3.5;L'application doit permettre l'approbation des demandes d'immatriculation soumises par les PM/EGE. Cela implique que l'application doit permettre la validation finale des demandes et la g‚n‚ration d'une autorisation d'exercice pour les PM/EGE.
                  REQ-2.2.3.4 Notification de l'‚tat d'avancement du processus d'immatriculation;REQ-2.2.3.4;L'application doit permettre la notification de l'‚tat d'avancement du processus d'immatriculation aux PM/EGE. Cela implique que l'application doit permettre l'envoi de notifications automatiques aux PM/EGE pour les informer de l'‚tat d'avancement de leur demande.
                  REQ-2.2.3.6 Archivage des demandes d'immatriculation et des documents justificatifs;REQ-2.2.3.6;L'application doit permettre l'archivage des demandes d'immatriculation et des documents justificatifs soumis par les PM/EGE. Cela implique que l'application doit permettre la conservation des informations et documents pour la tra‡abilit‚ et la v‚rification des demandes d'immatriculation.
          REQ-2.3 V‚rification;REQ-2.3;L'application doit disposer de m‚canismes de v‚rification et correction des donn‚es pour garantir l'exactitude des informations pr‚sent‚es dans la demande d'enregistrement.
          REQ-2.4 Int‚gration;REQ-2.4;L'application doit ˆtre capable de s'int‚grer avec les autorit‚s d'enregistrement et de r‚gulation correspondantes pour garantir que les donn‚es collect‚es soient synchronis‚es de maniŠre opportune et efficace.
